pid,dt,url,title,price,neighb,sqft,lat,lng,accuracy,body_text,furnished,laundry_known,laundry_onpremises,laundry_inunit,room_known,private_room,bath_known,private_bath,parking_known,onsite_parking
6017500950,2017-03-10 12:02,http://sfbay.craigslist.org/sfc/roo/6017500950.html,"Large beautiful room for rent! Only $1,295/month",1295,lower haight,180,37.781300,-122.416700,0,"Large, beautiful bedroom in Victorian for rent in border of Lower Haight /Hayes Valley, San Francisco. Private bedroom, shared kitchen, 1.5 bath, dining room, and living room. Seeking only one housemate. No couples or shared room arrangements. 

Ideal applicant:
* responsible, financially viable, friendly, clean, quiet, and trustworthy 
* full time student or working professional 
* no pets
* month-to-month lease, after signing a 3-month lease upon move-in, ie. Month-to-month lease, with a minimum stay of 3 months 
* non-smoker, no late night parties
* single with no overnight guests

Access/amenities:
- Wifi internet, Cable TV in living room
- private room fully furnished 
- large closet 
- large window
- wooden floors
- shared living spaces (kitchen, bathroom, dining area and living room)
- access to free washer/dryer
- use of patio garden
- quiet and safe residential neighborhood 
- street parking
- MUNI is half a block away, and it connects you to downtown San Francisco, the other MUNI buses, BART, etc in 10 minutes.


Move-in cost & requirements:
- rent is only $1,295
- move-in cost is ""first and last"" months rent plus deposit of $1000, a total of $3,590 moves you in
- Security deposit is refundable
- share of utilities excluded 
- available immediately, ready to move in

You will be sharing the house with professional male and female, clean, quiet, who are full-time students and also work full-time.

Contact me:
Provide a brief email containing your name and contact info, reason why you're moving, occupation, length of occupancy you seek, any pertinent info. Thanks!",False,TRUE,TRUE,False,True,TRUE,True,FALSE,TRUE,FALSE
6017499727,2017-03-10 12:02,http://sfbay.craigslist.org/sfc/roo/6017499727.html,"Large beautiful room for rent! Only $1,295/month",1295,lower haight,180,37.781300,-122.416700,0,"Large, beautiful bedroom in Victorian for rent in border of Lower Haight /Hayes Valley, San Francisco. Private bedroom, shared kitchen, 1.5 bath, dining room, and living room. Seeking only one housemate. No couples or shared room arrangements. 

Ideal applicant:
* responsible, financially viable, friendly, clean, quiet, and trustworthy 
* full time student or working professional 
* no pets
* month-to-month lease, after signing a 3-month lease upon move-in, ie. Month-to-month lease, with a minimum stay of 3 months 
* non-smoker, no late night parties
* single with no overnight guests

Access/amenities:
- Wifi internet, Cable TV in living room
- private room fully furnished 
- large closet 
- large window
- wooden floors
- shared living spaces (kitchen, bathroom, dining area and living room)
- access to free washer/dryer
- use of patio garden
- quiet and safe residential neighborhood 
- street parking
- MUNI is half a block away, and it connects you to downtown San Francisco, the other MUNI buses, BART, etc in 10 minutes.


Move-in cost & requirements:
- rent is only $1,295
- move-in cost is ""first and last"" months rent plus deposit of $1000, a total of $3,590 moves you in
- Security deposit is refundable
- share of utilities excluded 
- available immediately, ready to move in

You will be sharing the house with professional male and female, clean, quiet, who are full-time students and also work full-time.

Contact me:
Provide a brief email containing your name and contact info, reason why you're moving, occupation, length of occupancy you seek, any pertinent info. Thanks!",False,TRUE,TRUE,False,True,TRUE,True,FALSE,TRUE,FALSE
6038202206,2017-03-10 12:01,http://sfbay.craigslist.org/nby/roo/6038202206.html,Great Rincon Valley Home,950,santa rosa,0,38.459200,-122.639300,22,"One good sized room plus bath in 3-bedroom/2-bath Rincon Valley Home in Santa Rosa. 
Available for rent  Mar. 15th.

 Rent is $950 a month. Deposit is $600.00,and payable in installments.

This includes utilities, (Pg&E; water, garbage), Kitchen privileges, use of washer/dryer, linen closet, storage shed and a nice back yard. The house has all the amenities with laminate hardwood floors, granite kitchen and bathroom counter-tops, Central heating and air conditioning , Brand new fridge, stove, washer/dryer, dishwasher, and furniture, etc. It's really very nice. I own the home and live there. I am looking for One person to share the home, who is an easy going, financially responsible roommate, that works full/part time and/or goes to school etc.- Someone who is respectful and considerate of others, wants to live in a nice space, and doesn't mind cleaning up after themselves.
 I am a laid back, active 53 year old male chef. This is a 6 month lease situation, but hopefully will work out to be long-term . Hope this all sounds good to you:

Sorry, No Pets!

Please respond with a PHONE  NUMBER! to make a time to come and see it ,

Please, Only inquiries that include a Phone Number will be answered.!
 
 Thanks for reading this posting and good luck!",False,TRUE,FALSE,True,True,TRUE,True,FALSE,TRUE,FALSE
6038200944,2017-03-10 12:01,http://sfbay.craigslist.org/nby/roo/6038200944.html,private floor /entry,1150,sausalito,0,37.858659,-122.497816,7,"Private room with a private entrance in the hills of Sausalito.It has a private bathroom..Looking to give discounted rent for help with my 4 year old that I have him 50% of the time.
Easy commute to San Fran and walking distance to Sausalito ferry.Great out door hiking running and sailing all out side the front door..

What I will be asking for.
1.Female that is in a pre nursing/are nursing school are child care experience .
2.cpr certified.
3. Driver license,good driving record and Ca.insurance.
4.Help with light cleaning and cooking.A plus if you are gluten and dairy intolerant understanding.
5.Need help either early mornings are afternoons a couple days a week ,but very flexible because I make my own hours.
6.Will do short term.
NO COUPLES.....
Please shoot me an email and explain how this could benefit both parties.
I will only respond to the top applicants so please don't send multiple email.
A picture would be a plus..to show you are not a computer.",False,TRUE,FALSE,False,True,TRUE,True,TRUE,TRUE,FALSE
6038197958,2017-03-10 11:59,http://sfbay.craigslist.org/sby/roo/6038197958.html,Nice Room in a Big House - Female Preferred,840,san jose north,0,37.387240,-121.886266,15,"Hi, we have a room in a nice big house that's available on April 1.   We are  2 guys and 2 girls in our mid 20's and early 30's. One of the girls is moving so we're looking for another female to keep the dynamics the same.   Here's a little more about us.

Me: Works in SF so I'm gone all day.  You might not see me until the weekend lol.  I like to travel in my free time.  
Paulina:  Recently moved from Poland and is an office manager.  Likes going to the gym and exploring California.
Jeff:  UCSB graduate and now in the medical field.   Always on call to different cities so home only a couple times a month

The room will be opening up 1st of April. We might have some wine if we're all home and BBQ in the backyard on the weekend from time to time, but mostly we have our own busy schedules. Personality-wise, we are chill and and treat everyone like adults, there's no rules like no cooking or no guests like some other places have. Just as long as it is not excessive to the point where we feel there's an extra person.  The ideal roommate will be someone that's clean, easygoing, and responsible.  

About the room:
Your own sunny room (unfurnished)
Quiet and safe neighborhood close by a park and golf course
1.5 bathroom to share with Paulina and Jeff
Near Costco, post office, and walking distance to grocery stores and restaurants.  
Google and Apple just bought some land nearby so there's lots of new developments 
Fairly close to San Jose State, downtown, D&B, and Santana Row
Full privileges to common areas of the house including kitchen
Has washer and dryer
Utilities are around $80 per month which includes cable, internet, garbage, water, electric.  
Garage space and closet for belongings
Big backyard with patio furniture and fruit trees
Easy street parking
For 1 person only, no kids or pets
Month to Month
Room size about 11 x 11
$840 rent
$840 refundable deposit

If you think this might be a good fit for you, please tell us a little bit about yourself. It'll be helpful if you can include LinkedIn or social media links so we can see you're legit and not a scammer. 

I'm most available nights and weekend, so let me know when you would like to check out the place. If you see this ad up, the place is still available. Good luck!


Best,

Allen",False,TRUE,TRUE,False,True,TRUE,True,FALSE,TRUE,FALSE
6022191982,2017-03-10 11:56,http://sfbay.craigslist.org/sfc/roo/6022191982.html,Large Newly Remodeled Master Bedroom With Private Bathroom,1450,sunset / parkside,375,37.742296,-122.492837,15,"The House: 

Located at 35th and Taraval in Parkside, a 1 minute walk from the L and 29 Muni. The L provides a quick ride directly Downtown. The house is recently remodeled with fresh hardwood throughout, and has 4 rooms (and four roommates, including you). The upstairs is an open concept with a nice big kitchen, a spacious family room 2 of the 4 bedrooms including yours! Downstairs is a full in-law (also newly remodeled) with a couple currently occupying it. There is also a backyard, complete with a lemon tree. Washer and Dryer are in the garage, and parking is available and safe in the neighborhood. 

The Room: 

Your room is the master bedroom, and has its own bathroom. It's the largest room in the house and has two closets.

About Me: I'm 29, from the area, and currently working in the tech industry. I enjoy going to shows, or enjoying the city while I'm not working, and like to get out of the state/ country when I can. 
 
I'm looking for someone who is quiet, easy going, and knows how to take care of themselves. The house is not a museum, but I like to try to keep it livable and enjoy living in a clean environment. Most importantly, I am looking for someone who is respectful of others, and can contribute to a positive environment. Guests are of course accepted. Longer term tenants & 27+ are preferred. No couples, Please. Pets are unfortunately not allowed. 

 Move-in will be March 26th.

To inquire, please email or fill out the Google form by following this link:

https://docs.google.com/forms/d/1nAoyupFR-FKZLUAqksGqFnT96AWnxT0_uYAh2lC4RYY",False,TRUE,FALSE,True,True,TRUE,True,TRUE,TRUE,FALSE
6034494388,2017-03-10 11:56,http://sfbay.craigslist.org/sfc/roo/6034494388.html,Remodeled Parkside Home - 2 Bedrooms Available,1250,sunset / parkside,2000,37.742296,-122.492837,15,"The House: 

Located at 35th and Taraval in Parkside, a 1 minute walk from the L and 29 Muni. The L provides a quick ride directly downtown. The house is recently remodeled with fresh hardwood throughout, and has 4 rooms (and four roommates, including you). The upstairs is an open concept with a nice big kitchen, a spacious family room, and 2 of the bedrooms. There is also a backyard, complete with a lemon tree. Washer and Dryer are in the garage (on site), and parking is available and safe in the neighborhood.

The Unit Available: 

Downstairs is an in-law (also newly remodeled) with full kitchen (newer stainless steel appliances), 2 excellent sized bedrooms with closets and 1 large bathroom. Both of these rooms are currently available. It has a spacious family room that will include a 46'' TV. Private entry, as well as backyard entry. It is unfurnished (but includes the TV and the white storage furniture under it in the photos). Both rooms will be $1,250/month each.

About Us: 

We will be your upstairs neighbors. The unit downstairs is separate, with a private entrance, but utilities are shared, and you are welcome to be upstairs as well. We are in our late 20's, currently working in the tech industry. We enjoy going to shows, or enjoying the city while not working, and like to get out of the state/ country when possible. 


We are looking for people who are quiet, easy going, and know how to take care of themselves and the house. The house is not a museum, but we like to try to keep it livable and enjoy living in a clean environment. Most importantly, we are looking for people who are respectful of others, and can contribute to a positive environment. Longer term tenants & Couples are preferred. Pets are unfortunately not allowed.

To inquire, please email or fill out the Google form by following this link:

https://docs.google.com/forms/d/e/1FAIpQLSeuAI6LU3TpAnwT8A5Ycfq0mpuWOAcqg0mZB2xAJDrx4m7C7w/viewform?usp=sf_link",False,TRUE,FALSE,True,True,TRUE,True,FALSE,TRUE,FALSE
6038193615,2017-03-10 11:56,http://sfbay.craigslist.org/sfc/roo/6038193615.html,One large Bedroom with hardwood floors and bay views,925,excelsior / outer mission,0,,,,"REQUIREMENTS:
- 12 month lease (month to month after).
- One person only.
- No smoking, drugs, and pets. 
- Please be prepared to show proof of income and references",False,FALSE,FALSE,False,True,TRUE,True,FALSE,TRUE,FALSE
6038183539,2017-03-10 11:56,http://sfbay.craigslist.org/eby/roo/6038183539.html,Suite with a view,1000,richmond / point / annex,0,37.939544,-122.308224,5,"furnished suite of two room with half bath upstairs of our secluded and unique house on the border line El Cerrito/Richmond (off Arlington) public transportation buses and Bart. Upstairs. Lots of storage space. Washer/Dryer available. Wifi, refrigerator and microwave in room. Meals negotiable. We are a mature well travel couple working at home. Ideal for a busy professional or graduate student or visiting professor.",True,TRUE,TRUE,False,True,TRUE,True,TRUE,TRUE,FALSE
6038192500,2017-03-10 11:55,http://sfbay.craigslist.org/sby/roo/6038192500.html,Room for Rent at $550.00 per month,,gilroy,0,37.013900,-121.577300,0,"Renting room at $550.00 per month plus utilities ($30 water & $30 PGE totaling $610.00 per month). It is available April 1st. Only $25.00 deposit to move in. 

Looking for single mature women for quite home. Shared kitchen, bathroom and living space. No partying, drugs, alcohol, sleepovers but limited visiting is allowed. No Smoking.

Close to parks, shopping malls, outlets, grocery stores and restaurants. Easy access to highway 101, bus line and Cal Train.

If interested call Virginia Thomas at",False,FALSE,FALSE,False,True,TRUE,True,FALSE,FALSE,FALSE
